conversation,panic_meter
"Storm surge is breaking the wall, sea water entering colony in Chennai",59.2
"Bhai kal se baarish ho rahi hai,koi madad nahi aayi abhi tak 😡",51.0
"Music during cyclone holiday, kids crying 🚢",85.2
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",22.2
"Can't go inside, roads blocked due to heavy rain in Kolkata. Anyone else stuck?",94.6
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",34.8
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",40.5
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,31.2
"Flood in Puri, please @NDRF come fast 🙏",73.8
"Cyclone destroyed roof of my house, kids shivering 😢",83.8
"Seashore flooding slowly, people moving inland",35.9
"Can't visit facility due to security reasons, please raise your voice against fake news.🙏",54.8
"Storm surge is breaking the wall, sea water entering colony in Chennai",65.5
"School closure due to flood, kids shivering 😢",84.1
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",7.4
"Heavy rain again, classic Mumbai monsoon 😂",12.0
"@IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",94.4
"Just another day, stuck in traffic due to rain 😒",82.6
"Bhai kal se baarish ho rahi hi, koimadad nahi aayi abhi tak 😡",72.8
"Can't go outside, roads blocked due to heavy rain in Visakhapatnam. Anyone else stuck?",94.2
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,11.0
"Power cut in whole area due to cyclone, scary night 😰",68.9
"Just another day, stuck in traffic due to rain 😒",86.5
"Basement completelyfilled with water, car doob gayi 😭 #Floods",93.6
"Heavy rain again, classic Mumbai monsoon 😂",17.6
"Beach closed due to high tide, lifeguards warning tourists ⚠️",54.9
"Cyclone destroyed roof of my house, kids shivering 😢",83.1
"Power cut in whole area due to cyclone, scary night 😰",59.1
Rainy vibes with chai ☕ but roads full of water 🤦,37.7
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",73.3
"Just another day, stuck in traffic due to rain 😒",91.5
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",25.2
"Seashore flooding slowly, people moving inland",58.1
"Flood in Puri, please @NDRF come fast 🙏",56.1
"Basement completely filled with water, car doob gayi 😭 #Floods",83.3
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,70.9
"Can't go outside, roads blocked due to heavy rain in Kolkata. Anyone else stuck?",88.1
"Beach closed due to high tide, lifeguards warning tourists ⚠️",53.2
"My house is completely flooded, water till knee level 😭 #FloodAlert",63.4
"Water entered ground floor, electricity gone, please send help urgently!!",87.5
"High waves hitting the shore, fishermen in danger 🚤🌊",62.0
"@IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",84.9
"My house is completely flooded, water till knee level 😭 #FloodAlert",71.1
"Storm surge is breaking the wall, sea water entering colony in Chennai",59.2
"No food, no drinking water since yesterday, stranded in Thiruvananthapuram flood",92.6
Rainy vibes with chai ☕ but roads full of water 🤦,9.4
"Basement completely filled with water, car doob gayi 😭 #Floods",87.0
"Kids crying, we are on rooftop since last night, water rising fast 🚨",90.2
"@IndianNavy please rescue us, stuck in Visakhapatnam since cyclone hit!",83.1
"Can't believe the size of these waves, never seen like this before",45.7
"Flood in Visakhapatnam, please @NDRF come fast 🙏",50.7
"Kids crying, we are on rooftop since last night, water rising fast 🚨",99.7
"High waves hitting the shore, fishermen in danger 🚤🌊",68.8
"Power cut in whole area due to cyclone, scary night 😰",60.4
Mauli se swarf er punar vaat 😂 #CoronaAlert,42.1
Rainy vibes with chai ☕ but roads full of water 🤦,4.9
"Kids crying, we are on rooftop since last night, water rising fast 🚨",90.6
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",74.3
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",72.3
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",14.8
"Can't believe the size of these waves, never seen like this before",64.0
"No food, no drinking water since yesterday, stranded in Kolkata flood",95.6
"Beach closed due to high tide, lifeguards warning tourists ⚠️",58.0
"Power cut in whole area due to cyclone, scary night 😰",65.2
"Flood in Visakhapatnam, please @NDRF come fast 🙏",52.2
"Water entered ground floor, electricity gone, please send help urgently!!",89.1
"@IndianNavy please rescue us, stuck in Puri since cyclone hit!",80.1
"Just another day, stuck in traffic due to rain 😒",83.1
"My house is completely flooded, water till knee level 😭 #FloodAlert",71.1
"Storm surge is breaking the wall, sea water entering colony in Chennai",66.8
"Seashore flooding slowly, people moving inland",31.1
"Heavy rain again, classic Mumbai monsoon 😂",28.4
"High waves hitting the shore, fishermen in danger 🚤🌊",59.7
"Basement completely filled with water, car doob gayi 😭 #Floods",86.0
"Flood in Thiruvananthapuram, please @NDRF come fast 🙏",54.8
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",54.0
"Flood in Puri, please @NDRF come fast 🙏",68.7
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",28.2
"Storm surge is breaking the walls, sea water entering colony in Cuttack",67.9
"@IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",90.1
"@IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",90.2
"Basement completely filled with water, car doob gayi 😭 #Floods",81.5
"Flood in Puri, please @NDRF come fast 🙏",22.2
"No food, no drinking water since yesterday, stranded in Cuttack flood",96.0
"Flood in Thiruvananthapuram, please @NDRF come fast 🙏",51.2
"Just another day, stuck in traffic due to rain 😒",91.8
Lol people swimming on road again 🌧️,20.1
"Storm surge is breaking the wall, sea water entering colony in Cuttack",69.4
Rainy vibes with chai ☕ but roads full of water 🤦,4.3
"Rains again lol, tea once again 🤦🌊",9.3
"Just another day, stuck in traffic due to rain 😒",86.4
"Power cut in whole area due to cyclone, scary night 😰",51.5
"Cyclone holiday declared, no college today yay 😅",16.4
"@IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",82.2
"Car crossed centre line, driver going back~🙏",58.9
"High waves hitting the shore, fishermen in danger 🚤🌊",71.7
"My house is completely flooded, water until knee level 😭 #FloodAlert",72.3
"Just another day, stuck in traffic due to rain 😒",91.4
"Heavy rain again, classic Mumbai monsoon 😂",4.1
"Beach closed due to high tide, lifeguards warning tourists ⚠️",50.5
"Beach closed due to high tide, lifeguards warning tourists ⚠️",47.5
"@IndianNavy please rescue us, stuck in Mumbai since Cyclone hit!",87.4
"Water entered ground floor, electricity gone, please send help urgently!!",94.1
"Power cut in whole area due to cyclone, frightening night 😰",64.0
"Cyclone holiday declared, no college today yay 😅",9.7
"Can't go outside, roads blocked due to heavy rain in Puri. Anyone else stuck?",94.0
"Basement completely filled with water, car doob gayi 😭 #Floods",86.7
"Kids crying, we are on rooftop since last night, water rising fast 🚨",100.0
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",52.1
"Water entered ground floor, electricity gone, please send help urgently!!",99.0
"Heavy rain again, classic Mumbai monsoon 😂",15.2
Rainy vibes with chai ☕ but roads full of water 🤦,35.5
"High waves hitting the shore, fishermen in danger 🚤🌊",70.0
"Just another day, stuck in traffic due to rain 😒",83.4
"@IndianNaval ships, please come to visit us! Favorite beach replaced by Cuttack harbor",41.8
"Storm surge is breaking the wall, sea water entering colony in Chennai",75.7
"Cyclone holiday declared, no college today yay 😅",7.1
"My house is completely flooded, water till knee level 😭 #FloodAlert",70.8
"Power cut in whole area due to cyclone, scary night 😰",67.4
"No food, no drinking water since yesterday, stranded in Kolkata flood",87.4
"Mumbai rains again lol, basabdo obaya 😂🌧️",21.2
"Beach closed due to high tide, lifeguards warning tourists ⚠️",52.3
"Water entered ground floor, electricity gone, please send help urgently!!",89.3
"Seashore flooding slowly, people moving inland",30.0
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",65.7
"Flood in Thiruvananthapuram, please @NDRF come fast 🙏",61.2
"Huge wave hit the shore, fishermen in danger 🚤🌊",55.1
"Getting tired, stairway to heaven (bridge) 😭 #TamilNadu",60.4
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,33.9
"Cyclone destroyed roof of my house, kids shivering 😢",90.4
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,35.2
"Kalse chaati (seaside curry) with beer, holidays never came 😅",20.9
Rainy vibes with chai ☕ but roads full of water 🤦,25.5
"High waves hitting the shore, fishermen in danger 🚤🌊",73.5
"Storm surge is breaking the wall, sea water entering colony in Visakhapatnam",50.4
"My house is completely flooded, water until knee level 😭 #FloodAlert",54.1
Rainy vibes with chai ☕ but roads full of water 🤦,23.6
"Waters entered ground floor, electricity gone, please send help urgently!!",99.5
"Storm surge is breaking the wall, sea water entering colony in Thiruvananthapuram",57.8
"High waves hitting the shore, fishermen in danger 🚤🌊",72.1
"@IndianNavy please rescue us, stuck in Puri since cyclone hit!",86.6
Rainy vibes with chai ☕ but roads full of water 🤦,15.8
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",74.1
"Big wave hit the shore, fishermen in danger 🚤🌊",59.9
"Water entered ground floor, electricity gone, please send help urgently!!!",94.1
Rainy vibes with chai ☕ but roads full of water 🤦,7.4
"My house is completely flooded, water till knee level 😭 #FloodAlert",50.7
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",4.7
"Storm surge is breaking the wall, sea water entering colony in Visakhapatnam",67.0
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",18.2
"Just another day, stuck in traffic due to rain 😒",81.2
"High waves hitting the shore, fishermen in danger 🚤🌊",65.2
"Power cut in whole area due to cyclone, scary night 😰",53.1
"@IndianNavy please rescue us, stuck in Thiruvananthapuram since cyclone hit!",88.8
"Seashore flooding slowly, people moving inland",40.7
"No food, no drinking water since yesterday, stranded in Kolkata flood",89.0
"Basement completely filled with water, car doob gayi 😭 #Floods",80.0
"Just another day, stuck in traffic due to rain 😒",85.6
"Can't believe the size of these waves, never seen like this before",42.6
"Cyclone destroyed roof of my house, kids shivering 😢",80.5
"Storm surge is breaking the wall, sea water entering colony in Chennai",60.7
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,37.1
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",48.5
"Heavy rain again, classic Mumbai monsoon 😂",4.7
Rainy vibes with chai ☕ but roads full of water 🤦,32.0
"Beach closed due to high tide, lifeguards warning tourists ⚠️",75.2
"My house is completely flooded, water till knee level 😭 #FloodAlert",50.4
"Water entered ground floor, electricity gone, please send help urgently!!",84.2
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",9.1
"Flood in Puri, please @NDRF come fast 🙏",68.5
"Storm surge is breaking the wall, sea water entering colony in Cuttack",77.4
"My house is completely floored, water till knee level 😭 #FloodAlert",42.9
"Flood in Visakhapatnam, please @NDRF come fast 🙏",67.4
"Cyclone holiday declared, no college today yay 😅",17.6
"My house is completely flooded, water till knee level 😭 #FloodAlert",51.5
"Heavy rain again, classic Mumbai monsoon 😂",8.4
"Beach closed due to high tide, lifeguards warning tourists ⚠️",64.1
"Mumbai rains again lol,bas abhi to office chhod do 😂🌧️",26.3
"No food, no drinking water since yesterday, stranded in Thiruvananthapuram flood",99.1
"Water entered ground floor, electricity gone, please send help urgently!!",81.1
"Beach closed due to high tide, lifeguards warning tourists ⚠️",59.5
Kadal la periya alaivar uthai terror (big waves at sea) 🌊 stay safe #TamilNadu,21.6
Kadal la periyadai (large waves at sea) 🌊 stay safe #TamilNadu,21.9
"Bhai kal se baarish ho rahi hai, kiya naya dvera aayi 😡",53.6
"After cyclone winds died, we are still dry, basements filling up slowly 😭 #CycloneAlert",20.6
"Hum idi bol nahi aayi, madadel hi meri bechroyan nare value 😡",79.1
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",34.0
Rainy vibes with chai ☕ but roads full of water 🤦,7.3
"Cyclone destroyed roof of my house, kids shivering 😢",96.0
"Kids crying, we are on rooftop since last night, water rising fast 🚨",98.7
"Flood in Mumbai, please @NDRF come fast 🙏",52.8
"Basement completely filled with water, cardoob gayi 😭 #Floods",87.9
"Flood in Puri, please @NDRF come fast 🙏",63.1
"My house is completely flooured, water till knee level 😭 #FloodAlert",45.7
"Seashore flooding slowly, people moving inland",33.8
"Heavy rain again, classic Mumbai monsoon 😂",15.6
"Liquid foreign currency, double edged sword 😭",21.5
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",5.6
"Power cut in whole area due to cyclone, scary night 😰",49.1
"Can't believe the size of these waves, never seen like this before",62.7
"Storm surge is breaking the wall, sea water entering colony in Puri",57.5
"Kids crying, we are on rooftop since last night, water rising fast 🚨",90.2
"Beach closed due to high tide, lifeguards warning tourists ⚠️",64.0
"Heavy rain again, classic Mumbai monsoon 😂",22.2
Rainy vibes with chai ☕ but roads full of water 🤦,4.6
"@IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",82.2
"Seashore flooding slowly, people moving inland",35.2
"Cyclone holiday declared, no college today yay 😅",16.8
"Just another day, stuck in traffic due to rain 😒",82.3
"Water entered ground floor, electricity gone, please send help urgently!!",94.8
"No food, no drinking water since yesterday, stranded in Kolkata flood",92.6
"High waves hitting the shore, fishermen in danger 🚤🌊",45.2
"Flood in Thiruvananthapuram, please @NDRF come fast 🙏",20.2
"My house is completely flooded, water till knee level 😭 #FloodAlert",59.5
"Basement completely filled with water, car doob gayi 😭 #Floods",82.0
"My house is completely flooded, water till knee level 😭 #FloodAlert",79.9
"Just another day, stuck in traffic due to rain 😒",80.1
"Can't go outside, roads blocked due to heavy rain in Chennai. Anyone else stuck?",89.2
"Can't believe the size of these waves, never seen like this before",49.4
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",68.4
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",65.2
"Cyclone destroyed roof of my house, kids shivering 😢",90.9
"Can't go outside, roads blocking due to heavy rain in Visakhapatnam. Anyone else stuck?",91.0
"Huge wave hitting the shore, fishermen in danger 🚤🌊",55.2
"Herbs for hydration, eco-friendly cooler 😭 #FitFoots",51.1
"Flood in Kolkata, please @NDRF come fast 🙏",71.9
"@IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",72.9
"Basement completely filled with water, car doob gayi 😭 #Floods",80.0
"Water entered ground floor, electricity gone, please send help urgently!!",84.1
"No food, no drinking water since yesterday, stranded in Kolkata flood",99.2
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",9.4
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,46.2
"My house is completely flooded, water till knee level 😭 #FloodAlert",64.0
"@IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",83.8
"My house is completely flooded, water till knee level 😭 #FloodAlert",59.3
"My house is completely flooded, water till knee level 😭 #FloodAlert",74.8
Kadal la periya alaivaru (big waves at sea) 🌊 stay safe #TamilNadu,78.0
"Water entered ground floor, electricity gone, please send help urgently!!!",84.2
"Kids crying, we are on rooftop since last night, water rising fast 🚨",92.5
"No food, no drinking water since yesterday, stranded in Mumbai flood",84.1
"Kids crying, we are on rooftop since last night, water rising fast 🚨",90.6
"My house is completely flooded, water till knee level 😭 #FloodAlert",56.4
"Storm surge is breaking the wall, sea water entering colony in Mumbai",54.1
"Kids crying, we are on rooftop since last night, water rising fast 🚨",90.6
"Can't believe the size of these waves, never seen like this before",45.2
"Cyclone destroyed roof of my house, kids shivering 😢",85.8
"Power cut in whole area due to cyclone, scary night 😰",39.9
"Just another day, stuck in traffic due to rain 😒",82.0
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",15.2
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",63.8
"@IndianNavy please rescue us, stuck in Thiruvananthapuram since cyclone hit!",91.4
"Flood in Mumbai, please @NDRF come fast 🙏",60.7
"No food, no drinking water since yesterday, stranded in Cuttack flood",92.3
"Beach closed due to high tide, lifeguards warning tourists ⚠️",70.9
"High waves hitting the shore, fishermen in danger 🚤🌊",57.3
"Seashore flooding slowly, people moving inland",52.2
"Water entered ground floor, electricity gone, please send help urgently!!",75.5
"Basement completely filled with water, car doob gayi 😭 #Floods",83.6
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",70.3
"My house is completely flooded, water till knee level 😭 #FloodAlert",43.3
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,43.2
"Storm surge is breaking the wall, sea water entering colony in Kolkata",66.4
"Cyclone holiday declared, no college today yay 😅",16.4
"Can't go outside, roads blocked due to heavy rain in Puri. Anyone else stuck?",95.6
"@IndianNavy please rescue us, stuck in Puri since cyclone hit!",84.1
"No food, no drinking water since yesterday, stranded in Visakhapatnam flood",98.0
"My house is completely flooded, water till knee level 😭 #FloodAlert",64.2
"Seashore flooding slowly, residents moving inland",21.1
"Cyclone destroyed roof of my house, kids shivering 😢",86.9
"@IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",88.7
"Just another day, stuck in traffic due to rain 😒",85.3
"My house is completely floored, water till knee level 😭 #FloodAlert",20.4
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",24.5
"Sheer force of nature, rivers closing in Cuttack",50.5
"My house is completely flooded, water till knee level 😭 #FloodAlert",66.4
"Providing food to the people who have lost everything, that's My India",59.5
"Kids crying, we are on rooftop since last night, water rising fast 🚨",91.1
"Cyclone destroyed roof of my house, kids shivering 😢",83.1
"Can't go outside, roads blocked due to heavy rain in Mumbai. Anyone else stuck?",94.8
"Power cut in whole area due to cyclone, scary night 😰",70.4
"Storm surge is breaking the wall, sea water entering colony in Puri",65.2
"Power cut in whole area due to cyclone, scary night 😰",74.2
"Storm surge is breaking the wall, sea water entering colony in Cuttack",59.9
"Big wave hitting the shore, fishermen in danger 🚤🌊",59.3
"Can't believe the size of these waves, never seen like this before",34.0
"Beach closed due to high tide, lifeguards warning tourists ⚠️",51.1
"@IndianNavy please rescue us, stuck in Thiruvananthapuram since cyclone hit!",88.8
Rainy vibes with chai ☕ but roads full of water 🤦,29.5
"High waves hitting the shore, fishermen in danger 🚤🌊",66.8
"Kids crying, we are on rooftop since last night, water rising fast 🚨",84.0
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,49.5
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",16.5
"Just another day, stuck in traffic due to rain 😒",97.5
"Storm surge is breaking the wall, sea water entering colony in Chennai",56.7
"My house is completely flooded, water till knee level 😭 #FloodAlert",75.8
"Can't go outside, roads blocked due to heavy rain in Visakhapatnam. Anyone else stuck?",94.1
"No food, no drinking water since yesterday, stranded in Kolkata flood",97.0
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",66.2
"Beach closed due to high tide, lifeguards warning tourists ⚠️",49.5
"High waves hitting the shore, fishermen in danger 🚤🌊",62.4
"Seashore flooding slowly, people moving inland",45.2
"Basement completely filled with water, car doob gayi 😭 #Floods",89.8
"Water entered ground floor, electricity gone, please send help urgently!!",86.4
Rainy vibes with chai ☕ but roads full of water 🤦,15.8
"Heavy rain again, classic Mumbai monsoon 😂",35.5
"@IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",83.9
"Power cut in whole area due to cyclone, scary night 😰",63.1
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",53.5
"Can't believe the size of these waves, never seen like this before",71.5
"Seashore flooding slowly, people moving inland",42.8
"Cyclone destroyed roof of my house, kids shivering 😢",90.6
"Storm surge is breaking the wall, sea water entering colony in Visakhapatnam",72.6
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",64.8
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",17.0
"Legend says king crocodile attacks only the bravest, we cant take risk 🙏",71.5
"Kids crying, we are on rooftop since last night, water rising fast 🚨",83.9
Rainy vibes with chai ☕ but roads full of water 🤦,15.8
"Basement completely filled with water, car doob gayi 😭 #Floods",88.0
"Cyclone holiday declared, no college today yay 😅",13.3
"Kids crying, we are on rooftopsince last night, water rising fast 🚨",93.3
"Serious flood in Thiruvananthapuram, please @NDRF come fast 🙏",65.7
"High waves hitting the shore, fishermen in danger 🚤🌊",72.2
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",20.7
"Can't go outside, roads blocked due to heavy rain in Puri. Anyone else stuck?",96.1
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",60.7
Lol people swimming on road again 🌧️,17.5
"Kids crying, we are on rooftop since last night, water rising fast 🚨",90.3
"@IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",93.9
"Heavy rain again, classic Mumbai monsoon 😂",27.8
Rainy vibes with chai ☕ but roads full of water 🤦,10.7
"Water entered ground floor, electricity gone, please send help urgently!!",90.0
"Cyclone holiday declared, no college today yay 😅",15.9
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",21.5
"No food, no drinking water since yesterday, stranded in Kolkata flood",85.3
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",26.2
"Basement completely filled with water, car doob gayi 😭 #Floods",94.7
"High waves hitting the shore, fishermen in danger 🚤🌊",56.5
"Storm surge is breaking the wall, sea water entering colony in Visakhapatnam",51.4
"Just another day, stuck in traffic due to rain 😒",93.4
"Seashore flooding slowly, people moving inland",35.2
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",64.0
"No food, no drinking water since yesterday, stranded in Thiruvananthapuram flood",99.4
"Kids crying, we are on rooftop since last night, water rising fast 🚨",90.4
"Power cut in whole area due to cyclone, scary night 😰",65.8
"Can't go outside, roads blocked due to heavy rain in Mumbai. Anyone else stuck?",98.1
"Beach closed due to high tide, lifeguards warning tourists ⚠️",63.4
"@IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",81.8
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",66.4
Rainy vibes with chai ☕ but roads full of water 🤦,25.8
"My house is completely flooded, water till knee level 😭 #FloodAlert",57.8
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",24.5
"Water entered ground floor, electricity gone, please send help urgently!!",83.2
"Water entered ground floor, electricity gone, please send help urgently!!",84.2
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",74.8
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",21.2
"Heavy rain again, classic Mumbai monsoon 😂",15.4
"Can't believe the size of these waves, never seen like this before",78.0
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",55.2
"My house is completely flooded, water till knee level 😭 #FloodAlert",40.2
"Flood in Kolkata, please @NDRF come fast 🙏",20.5
"Just another day, stuck in traffic due to rain 😒",84.0
"No food, no drinking water since yesterday, stranded in Puri flood",89.0
"Seashore flooding slowly, people moving inland",40.9
"@IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",83.8
"My house is completely flooded, water till knee level 😭 #FloodAlert",20.9
Lol folks swimming on road again 🌧️,3.3
"Power cut in whole area due to cyclone, scary night 😰",66.8
"Basement completely filled with water, car doob gayi 😭 #Floods",99.3
"Flood in Chennai, please @NDRF come fast 🙏",78.1
"My house is completely flooded, water till knee level 😭 #FloodAlert",26.1
"Cyclone destroyed roof of my house, kids shivering 😢",86.2
"Storm surge is breaking the wall, sea water entering colony in Cuttack",60.5
"Can't believe the size of these waves, neverseenbefore",44.4
"Basement completelyfilledwithwater, car doob gayi 😭 #Floods",87.2
"My house is completely flooded, water till knee level 😭 #FloodAlert",53.8
"Can't go outside, roads blocked due to heavy rain in Cuttack. Anyone else stuck?",88.6
"My house is completely flooded, water till knee level 😭 #FloodAlert",56.4
"Just another day, stuck in traffic due to rain 😒",82.8
"Cyclone holiday declared, no college today yay 😅",12.1
"Power cut in whole area due to cyclone, scary night 😰",73.1
"Water entered ground floor, electricity gone, please send help urgently!!",86.9
"Cyclone holiday declared, no college today yay 😅",15.8
"Water entered ground floor, electricity gone, please send help urgently!!",85.3
"No food, no drinking water since yesterday, stranded in Cuttack flood",96.4
"High waves hitting the shore, fishermen in danger 🚤🌊",71.2
"Basement completely filled with water, car doob gayi 😭 #FloodsAlert",63.7
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",65.5
"My house is completely flooded, water till knee level 😭 #FloodAlert",48.7
"Power cut in whole area due to cyclone, scary night 😰",54.9
"Seashore flooding slowly, people moving inland",25.5
"Storm surge is breaking the wall, sea water entering colony in Thiruvananthapuram",48.7
"@IndianNavy please rescue us, stuck in Puri since cyclone hit!",82.6
Rainy vibes with chai ☕ but roads full of water 🤦,0.1
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",51.7
"Kids crying, we are on rooftop since last night, water rising fast 🚨",90.2
"Can't go outside, roads blocked due to heavy rain in Visakhapatnam. Anyone else stuck?",97.7
"Heavy rain once again, classic Mumbai monsoon 😂",4.1
"Storm surge is breaking the wall, sea water entering colony in Chennai",60.3
"Just another day, stuck in traffic due to rain 😒",88.1
"Beach closed due to high tide, lifeguards warning tourists ⚠️",73.9
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",10.4
"Flood in Kolkata, please @NDRF come fast 🙏",75.6
"Beach closed due to high tide, lifeguards warning tourists ⚠️",44.9
"Basement completely filled with water, car doob gayi 😭 #FloodsAlert",20.6
"Water entered ground floor, electricity gone, please send help urgently!!",81.3
"High waves hitting the shore, fishermen in danger 🚤🌊",63.1
"Beach closed due to high tide, lifeguards warning tourists ⚠️",56.9
"Storm surge is breaking the wall, sea water entering colony in Chennai",73.4
"Cyclone holiday declared, no college today yay 😅",23.5
"Can't believe the size of these waters, never seen like this before",49.2
"Can't go outside, roads blocked due to heavy rain in Kolkata. Anyone else stuck?",90.4
Lol people swimming on road again 🌧️,33.6
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",20.9
"My house is completely flooded, water until knee level 😭 #FloodAlert",46.1
Rainy vibes with chai ☕ but roads full of water 🤦,0.3
"Cyclone destroyed roof of my house, kids shivering 😢",86.7
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",24.2
"High waves hitting the shore, fishermen in danger 🚤🌊",70.7
"Seashore flooding slowly, people moving inland",42.2
Rainy vibes with chai ☕ but roads full of water 🤦,28.5
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,73.3
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",17.1
"Water entered ground floor, electricity gone, please send help urgently!!",98.8
"No food, no drinking water since yesterday, stranded in Cuttack flood",99.4
"Water entered ground floor, electricity gone, please send help urgent!",80.6
"Storm surge is breaking the wall, sea water entering colony in Visakhapatnam",62.7
"Power cut in whole area due to cyclone, scary night 😰",65.7
"In Mumbai, flood again lol, bas abhi to office chhod do 😂",44.3
Kadal la periya alai varuthu (big waves at sea) 🈂 #TamilNaduWatchAlert,74.5
"Beach closed due to high tide, lifeguards warning tourists ⚠️",71.3
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",71.1
"Heavy rain again, classic Mumbai monsoon 😂",19.5
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",77.9
"Can't go outside, roads blocked due to heavy weight of rain in Cuttack. Anyone else stuck?",93.8
Rainy vibes with chai ☕ but roads full of water 🤦,36.9
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",15.3
"My house is completely flooded, water till knee level 😭 #FloodAlert",56.4
"Power cut in whole area due to cyclone, scary night 😰",57.7
"Basement completely filled with water, car doob gayi 😭 #Floods",99.5
"High waves hitting the shore, fishermen in danger 🚤🌊",74.5
"Just another day, stuck in traffic due to rain 😒",82.7
"Storm surge is breaking the wall, sea water entering colony in Visakhapatnam",52.2
"@IndianNavy please rescue us, stuck in Puri since cyclone hit!",88.7
