conversation,panic_meter
"Power cut in whole area due to cyclone, scary night 😰",66.8
"Seashore flooding slowly, people moving inland",23.4
"Kids crying, we are on rooftop since last night, water rising fast 🚨",96.6
"Just another day, stuck in traffic because of rain 😒",94.1
"Storm surge is breaking the wall, sea water entering colony in Chennai",71.6
"Heavy rain again, classic Mumbai monsoon 😂",21.1
"Leather jacket once, now twice 😂",60.3
"Seashore flooding slowly, people moving inland",45.2
"Final stretch, can't believe speed 😂",61.4
"Cyclone holiday declared, no college today yay 😅",16.4
"Water entered ground floor, electricity gone, please send help urgently!!",99.1
"No food, no drinking water since yesterday, stranded in Kolkata flood",99.0
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,29.5
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",24.2
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",56.4
"Bhai kal se baarish ho rahi hai, ki mix celebrations with friends 😅",45.5
"Cyclone holiday declared, no college today yay 😅",14.8
"Basement completely filled with water, car doob gayi 😭 #Floods",91.8
"Flood in Puri, please @NDRF come fast 🙏",58.1
"No food, no drinking water since yesterday, stranded in Mumbai flood",92.6
"Heavy rain again, classic Mumbai monsoon 😂",35.5
"Can't believe the size of these waves, never seen like this before",73.8
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,17.3
"Dangerous wave swell hitting the shore, fishermen in danger 🚤🌊",77.4
"Bhai kal se baarish ho rahi hai, koimadad hi crack naya dobara aayi 😡",59.9
"High waves hitting the shore, fishermen in danger 🚤🌊",57.5
"No food, no drinking water since yesterday, stranded in Cuttack flood",98.5
"Flood in Thiruvananthapuram, please @NDRF come fast 🙏",60.2
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",71.3
"@IndianNavy please rescue us, stuck in Puri since cyclone hit!",90.6
"Beach closed due to high tide, lifeguards warning tourists ⚠️",45.9
"Kids crying, we are on rooftop since last night, water rising fast 🚨",91.3
"High waves hitting the shore, fishermen in danger 🚤🌊",73.1
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",28.1
"Heavy rain again, classic Mumbai monsoon 😂",22.2
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",42.8
"Just another day, stuck in traffic due to rain 😒",90.7
"My house is completely flooded, water till knee level 😭 #FloodAlert",44.3
"Can't go outside, roads blocked due to heavy rain in Kolkata. Anyone else stuck?",83.5
"Storm surge is breaking the wall, sea water entering colony in Chennai",62.5
"Power cut in whole area due to cycling wind, scary night 😰",63.9
"Seashore flooding slowly, people moving inland",44.1
"Water entered ground floor, electricity gone, please send help urgently!!",85.6
"Affirmations by @Nasa shown on TV, but humans still going down river 🤦",38.8
"Heavy rain again, classic Mumbai monsoon 😂",34.2
"Heavy rain again, classic Mumbai monsoon 😂",37.8
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",15.5
"Flood in Visakhapatnam, please @NDRF come rapid 🙏",52.2
"High waves hitting the shore, fishermen in danger 🚤🌊",54.4
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,45.2
"@IndianNavy please rescue us, stuck in Puri since cyclone hit!",91.4
"High waves hitting the shore, fishermen in danger 🚤🌊",50.8
"Beach closed due to high tide, lifeguards warning tourists ⚠️",57.9
Rainy vibes with chai ☕ but roads full of water 🤦,39.5
"Cyclone destroyed roof of my house, kids shivering 😢",86.8
"Run, everything falls apart, you're alone in the city flood 🚨",85.6
"Cyclone holiday declared, no college today yay 😅",24.3
"Just another day, stuck in traffic due to rain 😒",82.0
"Kids crying, we are on rooftop since last night, water rising fast 🚨",93.3
"No food, no drinking water since yesterday, stranded in Kolkata flood",92.6
"Storm surge is breaking the wall, sea water entering colony in Kolkata",67.8
"Mumbai rains again lol, bases par ondi 😂🌧️",29.2
"Storm surge is breaking the wall, sea water entering colony in Mumbai",77.0
"Can't believe the size of these waves, never seen like this before",41.2
Kadal la periya alai varuthu (big waves at sea) 🌊 be careful #TamilNadu,29.2
"@IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",89.6
"Basement completely filled with water, car doob gayi 😭 #Floods",89.2
"Cancelled flights because of thunderstorm, powercut in whole area due to cyclone hit 😰",78.4
"Water entered ground floor, electricity gone, please send help urgently!!",80.3
"Beach closed due to high tide, lifeguds warning tourists ⚠️",56.1
Anybody else stuck in traffic due to rain?,85.6
"Heavy rain again, classic Mumbai monsoon 😂",24.2
"Kids crying, we are on rooftop since last night, water rising fast 🚨",97.4
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,59.7
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",14.6
Rainy vibes with chai ☕ but roads full of water 🤦,24.8
"Just another day, stuck in traffic due to rain 😒",87.5
"Cyclone destroyed roof of my house, kids shivering 😢",85.7
"Can't go outside, roads blocked due to heavy rain in Mumbai. Anyone else stuck?",90.2
"Beach closed due to high tide, lifeguards warning tourists ⚠️",39.5
"No food, no drinking water since yesterday, stranded in Kolkata flood",99.5
"Power cut in whole area due to cyclone, scary night 😰",56.4
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",42.6
"Heavy rain again, classic Mumbai monsoon 😂",22.2
"Storm surge is breaking the wall, sea water entering colony in Visakhapatnam",49.5
"Basement completely filled with water, car doob gayi 😭 #Floods",96.6
"High waves hitting the shore, fishermen in danger 🚤🌊",76.3
"Seashore flooding slowly, people moving inland",34.1
"Water entered ground floor, electricity gone, please send help urgently!!",97.3
"@IndianNavy please rescue us, stuck in Thiruvananthapuram since cyclone hit!",82.0
"My house is completely flooded, water till knee level 😭 #FloodAlert",19.5
"Can't believe the size of these waves, never seen like this before",45.6
"@IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",92.7
"Basement completely filled with water, car doob gayi 😭 #Floods",99.2
"Storm surge is breaking the wall, sea water entering colony in Puri",71.2
"High waves hitting the shore, fishermen in danger 🚤🌊",57.6
"Flood in Kolkata, please @NDRF come fast 🙏",21.2
Lol people swimming on road again 🌧️,9.3
Rainy vibes with chai ☕ but roads full of water 🤦,0.3
"Power cut in whole area due to cyclone, scary night 😰",78.4
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",65.6
"No food, no drinking water since yesterday, stranded in Kolkata flood",89.2
"My house is completely flooded, water until knee level 😭 #FloodAlert",73.1
"Cyclone holiday declared, no college today yay 😅",21.8
"Kids crying, we are on rooftop since last night, water rising fast 🚨",98.9
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",68.4
Lol people swimming on road again 🌧️,17.5
"@IndianNavy please rescue us, stuck in Chennai since cyclone hit!",92.8
"Heavy rain again, classic Mumbai monsoon 😂",24.2
"Can't believe the size of these waves, never seen like this before",70.6
"High waves hitting the shore, fishermen in danger 🚤🌊",54.9
"Beach closed due to low tide, lifeguards warning tourists ⚠️",30.6
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",60.8
"Flood in Mumbai, please @NDRF come Fast 🙏",74.8
"Feels like walking on gravel, never done that before 😭",56.0
"Storm surge is breaking the wall, sea water entering colony in Mumbai",57.2
"No food, no drinking water since yesterday, stranded in Kerala flood",98.0
"High waves hitting the shore, fishermen in danger 🚤🌊",67.2
"No food, no drinking water since yesterday, stranded in Cuttack flood",99.0
"Can't believe the size of these waves, never seen like this before",46.6
"Storm surge is breaking the wall, sea water entering colony in Kochi",67.4
"Flood in Mumbai, please @NDRF comefast 🙏",65.2
"Heavy rain again, classic Mumbai monsoon 😂",19.5
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",4.6
"Storm surge is breaking the wall, sea water entering colony in Cuttack",76.9
"Basement completely filled with water, car doob gayi 😭 #Floods",90.2
"@IndianNavy please rescue us, stuck in Puri since cyclone hit!",96.7
"Can't believe the size of these waves, never seen like this before",59.2
"No food, no drinking water since yesterday, stranded in Thiruvananthapuram flood",98.6
"Kids crying, we are on rooftop since last night, water rising fast 🚨",91.3
"Water entered ground floor, electricity gone, please send help urgently!!",99.6
"Cyclone destroyed roof of my house, kids shivering 😢",86.3
"Seashore flooding slowly, people moving inland",60.7
"Just another day, stuck in traffic due to rain 😒",83.4
Rainy vibes with chai ☕ but roads full of water 🤦,10.6
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",49.7
"Power cut in whole area due to cyclone, scary night 😰",77.8
"High waves hitting the shore, fishermen in danger 🚤🌊",51.1
"My house is completely flooded, water till knee level 😭 #FloodAlert",14.9
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",77.4
"Beach closed due to high tide, lifeguards warning tourists ⚠️",64.0
Lol people swimming on road again 🌧️,17.8
"National river day, time to relax and paddle 😅",9.4
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,66.5
"@IndianNavy please rescue us, stuck in Puri since cyclone hit!",82.9
"@IndianNavy please rescue us, stuck in Visakhapatnam since cyclone hit!",93.4
"@IndianNaval ships are approaching Cuttack, people happy but safe too~😡",34.2
"Kids crying, we are on rooftop since last night, water rising fast 🚨",98.4
"Neighbors killing each other, I am watching from window 😭",73.8
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",31.2
"Cyclone holiday declared, no college today yay 😅",34.2
"Flood in Kolkata, please @NDRF come fast 🙏",52.2
"Basement fully filled with water, car doob gayi 😭 #Floods",89.2
"Cyclone holiday declared, no college today yay 😅",2.9
"Can't go outside, roads blocked due to heavy rain in Chennai. Anyone else stuck?",93.4
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",25.8
"No food, no drinking water since yesterday, stranded in Kolkata flood",97.1
"Kids crying, we are on rooftop since last night, water rising fast 🚨",94.6
"My house is completely flooded, water till knee level 😭 #FloodAlert",20.4
"Beach closed due to high tide, lifeguards warning tourists ⚠️",74.8
"Heavy rain again, classic Mumbai monsoon 😂",22.2
"Kids crying, we are on rooftop since last night, water rising fast 🚨",99.5
"Bhai kal se baarish ho rahi hai, ki thokabaar faai lo buak eid valli 😂#EidShock",78.1
"Can't go outside, roads blocked due to heavy rain in Puri. Anyone else stuck?",97.0
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",58.4
"Bhai kal se baarish ho rahi hai,ki thokabaar faii lo cute 😂",49.7
"Flood in Puri, please @NDRF come fast 🙏",65.2
"Cyclone holiday declared, no college today yay 😅",17.9
"Heavy rain again, classic Mumbai monsoon 😂",18.5
"Basement completely filled with water, car doob gayi 😭 #Floods",85.0
"@IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",84.2
"My house is completely flooded, water till knee level 😭 #FloodAlert",60.4
"Just another day, stuck in traffic due to rain 😒",86.6
"High waves hitting the shore, fishermen in danger 🚤🌊",68.4
"Power cut in whole area due to cyclone, scary night 😰",59.5
"No food, no drinking water since yesterday, stranded in Kolkata flood",99.0
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,32.1
"Storm surge is breaking the wall, sea water entering colony in Chennai",72.4
"Water entered ground floor, electricity gone, please send help urgently!!",94.2
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",20.9
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",53.2
"Seashore flooding slowly, people moving inland",37.0
"Can't go outside, roads blocked due to heavy rain in Visakhapatnam. Anyone else stuck?",95.7
"Beach closed due to high tide, lifeguards warning tourists ⚠️",72.6
"Do not go inside building, shake township please 😭 #TamilNaduAlert",53.3
"Beach closed due to high tide, lifeguards warning tourists ⚠️",58.2
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",68.3
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",25.2
"Cyclone destroyed roof of my house, kids shivering 😢",90.1
"Can't believe the size of these waves, never seen like this before",64.4
"@IndianNavy please rescue us, stuck in Thiruvananthapuram since cyclone hit!",93.5
"Heavy rain again, classic Mumbai monsoon 😂",23.8
"Hey beach club, can we swim to land again?? Kids crying 🚨",88.6
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",63.9
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",32.2
"@IndianNavy please rescue us, stuck in Puri since cyclone hit!",84.0
"Kids crying, we are on rooftop since last night, water rising fast 🚨",84.8
"Just another day, stuck in traffic due to rain 😒",82.5
"No food, no drinking water since yesterday, stranded in Kolkata flood",84.0
"No food, no drinking water since yesterday, stranded in Puri flood",96.0
"Basement fully filled with water, car doob gayi 😭 #Floods",89.1
"No food, no drinking water since yesterday, stranded in Cuttack flood",81.5
"Heavy rain again, classic Mumbai monsoon 😂",25.5
"Just another day, stuck in traffic due to rain 😒",84.5
"Just another day, stuck in traffic due to rain 😒",94.8
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",16.5
"Can't believe the size of these waves, never seen like this before",46.8
"Kids crying, we are on rooftop since last evening, water rising fast 🚨",80.3
"My house is completely flooded, water until knee level 😭 #FloodAlert",43.2
"Beach closed due to high tide, lifeguards warning tourists ⚠️",57.4
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",16.5
"Flood in Chennai, please @NDRF come fast 🙏",66.2
"No food, no drinking water since yesterday, stranded in Puri flood",84.0
"Heavy rain again, classic Mumbai monsoon 😂",17.5
"Cyclone holiday declared, no college today yay 😅",6.3
"No food, no drinking water since yesterday, stranded in Kolkata flood",95.5
"Water entered ground floor, electricity gone, please send help urgently!!",96.1
"Just another day, stuck in traffic due to rain 😒",96.5
"Can't go outside, roads blocked due to heavy rain in Puri. Anyone else stuck?",93.9
"Basement completely filled with water, car doob gayi 😭 #Floods",87.3
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",57.4
"High waves hitting the shore, fishermen in danger 🚤🌊",64.2
"@IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",82.6
"Kids crying, we are on rooftop since last night, water rising fast 🚨",94.1
Rainy vibes with chai ☕ but roads full of water 🤦,9.4
"Storm surge is breaking the wall, sea water entering colony in Chennai",55.1
"Seashore flooding slowly, people moving inland",40.8
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",9.8
"Beach closed due to high tide, lifeguards warning tourists ⚠️",58.0
"Power cut in whole area due to cyclone, scary night 😰",71.9
"My house is completely flooded, water till knee level 😭 #FloodAlert",66.4
Lol people swimming on road again 🌧️,2.3
"Can't believe the size of these waves, never seen like this before",66.5
"Can't believe the size of these waves, never seen like this before",45.8
"Water entered ground floor, electricity gone, please send help urgently!!",92.5
"@IndianNavy please rescue us, stuck in Thiruvananthapuram since cyclone hit!",80.6
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,59.8
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",68.1
"Basement completely filled with water, car doob gayi 😭 #Floods",81.6
"Strong winds are too strong, trees falling everywhere 🌪️ #WeatherAlert",55.7
"High waves hitting the shore, fishermen in danger 🚤🌊",62.3
"Flood in Visakhapatnam, please @NDRF come fast 🙏",37.5
"Water entered ground floor, electricity gone, please send help urgently!!",84.1
Lol people swimming on road again 🌧️,17.5
"Kids crying, we are on rooftop since last night, water rising fast 🚨",93.9
"Water entered ground floor, electricity gone, please send help urgent!",80.6
Rainy vibes with chai ☕ but roads full of water 🤦,0.1
"Kids crying, we are on rooftop since last night, water rising fast 🚨",80.6
"Basement fully filled with water, car doob gayi 😭 #Floods",89.0
"Beach closed due to high tide, lifeguards warning tourists ⚠️",63.1
"Seashore flooding slowly, people moving inland",37.6
"Water entered ground floor, electricity gone, please send help urgently!!",95.6
"Cyclone destroyed roof of my house, kids shivering 😢",89.1
"Seashore flooding slowly, people moving inland",38.2
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,46.1
"Can't believe the size of these waves, never seen like this before",75.9
"Basement completely filled with water, car doob gayi 😭 #Floods",99.1
"@IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",81.5
"Heavy rain again, classic Mumbai monsoon 😂",27.4
Lol people swimming on road again 🌧️,25.7
"Water entered ground floor, electricity gone, please send help urgently!!",96.0
"Basement completely filled with water, car doob gayi 😭 #Floods",86.7
"Storm surge is breaking the wall, sea water entering colony in Kolkata",61.8
"My house is completely flooded, water till knee level 😭 #FloodAlert",48.9
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",21.2
"Just another day, stuck in traffic due to rain 😒",86.6
"Kids crying, we are on rooftop since last night, water rising fast 🚨",98.9
"No food, no drinking water since yesterday, stranded in Visakhapatnam flood",99.7
"Heavy rain again, classic Mumbai monsoon 😂",13.4
"Beach closed due to high tide, lifeguards warning tourists ⚠️",76.6
"Power cut in whole area due to cyclone, scary night 😰",63.9
"Water entered ground floor, electricity gone, please send help urgently!!",97.4
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",57.3
"@IndianNavy please rescue us, stuck in Puri since cyclone hit!",83.3
"No food, no drinking water since yesterday, stranded in Thiruvananthapuram flood",86.0
"Seashore flooding slowly, people moving inland",46.0
"Can't believe the size of these waves, never seen like this before",32.0
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",23.0
"Huge wave hitting shore, fishermen in danger 🚤🌊",66.7
"High waves hitting the shore, fishermen in danger 🚤🌊",57.9
"Can't go outside, roads blocked due to heavy rain in Cuttack. Anyone else stuck?",92.6
Rainy vibes with chai ☕ but roads full of water 🤦,25.7
"Basement completely filled with water, car doob gayi 😭 #Floods",84.8
"Can't believe the size of these waves, never seen like this before",49.2
"No food, no drinking water since yesterday, stranded in Kolkata flood",93.6
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",15.1
"High waves hitting the shoreline, fishermen in danger 🚤🌊",70.0
"Storm surge is breaking the wall, sea water entering colony in Chennai",65.9
"My house is completely flooded, water till knee level 😭 #FloodAlert",62.9
"My house is completely flooded, water till knee level 😭 #FloodAlert",25.2
Maestro name sunny vidalho 😂 but sea not so friendly 🌊,40.9
"Power cut in whole area due to cyclone, scary night 😰",56.5
"Basement completely filled with water, car doob gayi 😭 #Floods",92.4
"Heavy rain again, classic Mumbai monsoon 😂",17.5
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",54.7
Rainy vibes with chai ☕ but roads full of water 🤦,36.4
"Cyclone holiday declared, no college today yay 😅",15.2
"Can't believe the size of these waves, neverseenlikebefore",36.4
"Beach closed due to high tide, lifeguards warning tourists ⚠️",52.2
"Heavy rain again, classic Mumbai monsoon 😂",37.1
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,31.8
"Can't go outside, roads blocked due to heavy rain in Thiruvananthapuram. Anyone else stuck?",88.9
"High waves hitting the shore, fishermen in danger 🚤🌊",71.6
"Beach closed due to high tide, lifeguards warning tourists ⚠️",19.2
"No food, no drinking water since yesterday, stranded in Thiruvananthapuram flood",99.1
Rainy vibes with chai ☕ but roads full of water 🤦,19.3
"Can't believe the size of these waves, never seen like this before",70.6
"Seashore flooding slowly, people moving inland",25.8
"Heavy rain again, classic Mumbai monsoon 😂",19.4
Rainy vibes with chai ☕ but roads full of water 🤦,0.1
"Water entered ground floor, electricity gone, please send help urgently!!",99.6
"Storm surge is breaking the wall, sea water entering colony in Kolkata",67.7
"No food, no drinking water since yesterday, stranded in Cuttack flood",99.5
"Beach closed due to high tide, lifeguards warning tourists ⚠️",63.9
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",50.2
"Kids crying, we are on rooftop since last night, water rising fast 🚨",100.0
Lol people swimming on road again 🌧️,17.5
"Cyclone holiday declared, no college today yay 😅",20.5
"Basement completely filled with water, car doob gayi 😭 #Floods",89.6
"@IndianNavy please rescue us, stuck in Thiruvananthapuram since cyclone hit!",90.7
"High waves hitting the shore, fishermen in danger 🚤🌊",72.6
"My house is completely flooded, water till knee level 😭 #FloodAlert",57.9
"Power cut in whole area due to cyclone, scary night 😰",68.1
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",23.6
"Flood in Puri, please @NDRF come fast 🙏",27.3
"Just another day, stuck in traffic due to rain 😒",98.6
"Flood in Visakhapatnam, please @NDRF come fast 🙏",59.5
"@IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",91.1
"Just another day, stuck in traffic due to rain 😒",80.0
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",66.4
"@IndianNavy please rescue us, stuck in Puri since cyclone hit!",94.1
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,46.5
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",55.1
"Kids crying, we are on rooftopsince last night, water rising fast 🚨",90.3
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",42.1
"Seashore flooding slowly, people moving inland",45.6
"Cyclone destroyed roof of my house, kids shivering 😢",83.1
"Rained again lol, hot cooker beads 😂🌧️",20.1
"Cyclone destroyed roof of my house, kids shivering 😢",93.1
"Storm surge is breaking the wall, sea water entering colony in Chennai",59.1
Rainy vibes with chai ☕ but roads full of water 🤦,17.8
"@IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",86.6
"Beach closed due to high tide, lifeguards warning tourists ⚠️",58.0
"Can't go outside, roads blocked due to heavy rain in Mumbai. Anyone else stuck?",97.0
Rainy vibes with chai ☕ but roads full of water 🤦,38.9
"Kids crying, we are on rooftop since last night, water rising fast 🚨",98.5
"Seashore flooding slowly, people moving inland",60.3
"Kids crying, we are on rooftop since last night, water rising fast 🚨",89.1
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",53.3
"High waves hitting the shore, fishermen in danger 🚤🌊",71.0
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",39.5
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,31.5
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,78.3
"My house is completely flooded, water till knee level 😭 #FloodAlert",50.9
"High waves hitting the shore, fishermen in danger 🚤🌊",67.8
"Basement completely filled with water, car doob gayi 😭 #Floods",100.0
"Storm surge is breaking the wall, sea water entering colony in Chennai",59.8
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,47.5
"@IndianNavy please rescue us, stuck in Thiruvananthapuram since cyclone hit!",81.8
"Heavy rain again, classic Mumbai monsoon 😂",31.5
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",10.0
"Seashore flooding slowly, people moving inland",30.0
"Water entered ground floor, electricity gone, please send help urgently!!",98.6
Rainy vibes with chai ☕ but roads full of water 🤦,19.2
"Can't go outside, roads blocked due to heavy rain in Cuttack. Anyone else stuck?",98.4
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",20.5
"No food, no drinking water since yesterday, stranded in Visakhapatnam flood",85.3
"Just another day, stuck in traffic due to rain 😒",86.6
"Beach closed due to high tide, lifeguards warning tourists ⚠️",76.2
"My house is completely flooded, water till knee level 😭 #FloodAlert",55.9
"Water entered ground floor, electricity gone, please send help urgently!!",94.1
"More rain, more mud, same road 😂",69.5
"My house is completely flooded, water till knee level 😭 #FloodAlert",100.0
Lol people swimming on road again 🌧️,24.5
"Just another day, stuck in traffic due to rain 😒",85.0
"Kids crying, we are on rooftop since last night, water rising fast 🚨",83.9
"High waves hitting the shore, fishermen in danger 🚤🌊",55.1
"Cyclone holiday declared, no college today yay 😅",17.9
"My house is completely flooded, water till knee level 😭 #FloodAlert",67.1
"My house is completely flooded, water till knee level 😭 #FloodAlert",66.8
"Just another day, stuck in traffic due to rain 😒",84.1
"Flood in Kolkata, please @NDRF come fast 🙏",76.5
"Basement completely filled with water, car doob gayi 😭 #Floods",91.5
"Cyclone destroyed roof of my house, kids shivering 😢",93.5
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",5.8
"Cyclone holiday declared, no college today yay 😅",14.3
"Beach closed due to high tide, lifeguards warning tourists ⚠️",71.1
"Can't believe the size of these waves, never seen like this before",77.1
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",21.3
"Basement completelyfilled with water, car doob gayi 😭 #Floods",99.4
"Power cut in whole area due to cyclone, scary night 😰",76.5
"High waves hitting the shore, fishermen in danger 🚤🌊",72.4
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",78.4
"@IndianNavy please rescue us, stuck in Puri since cyclone hit!",83.1
Kadal la periya alaivaru (big waves at sea) 🌊 stay safe #TamilNadu,66.8
"Power cut in whole area due to cyclone, scary night 😰",63.2
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",25.9
"Cyclone destroyed roof of my house, kids shivering 😢",95.7
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,10.2
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",25.6
"My home is completely flooded, water till knee level 😭 #FloodAlert",53.3
"Heavy rain again, classic Mumbai monsoon 😂",28.5
"@IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",81.4
"Can't believe the size of these waves, never seen like this before",76.6
"No food, no drinking water since yesterday, stranded in Kolkata flood",83.3
"Basement completely filled with water, car doob gayi 😭 #Floods",96.5
"Seashore flooding slowly, people moving inland",37.7
"Just another day, stuck in traffic due to rain 😒",84.0
"Water entered ground floor, electricity gone, please send help urgently!!",89.4
"Storm surge is breaking the wall, sea water entering colony in Chennai",62.5
"Flood in Puri, please @NDRF come fast 🙏",63.9
"Beach closed due to high tide, lifeguards warning tourists ⚠️",71.0
"Water entered ground floor, electricity gone, please send help urgently!!",99.5
"My home is completely flooded, water till knee level 😭 #FloodAlert",54.7
"Storm surge is breaking the wall, sea water entering colony in Visakhapatnam",44.3
"Can't go outside, roads blocked due to heavy rain in Thiruvananthapuram. Anyone else stuck?",99.6
"@IndianNavy please rescue us, stuck in Puri since cyclone struck!",97.5
Lol people swimming on road again 🌧️,34.6
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",70.6
"Can't go inside because flood, please tell me if anyone else staying safe??",82.0
Rainy vibes with chai ☕ but roads full of water 🤦,38.9
"Cyclone holiday declared, no college today yay 😅",14.8
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",4.6
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",73.8
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",59.5
"@IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",87.9
"Power cut in whole area due to cyclone, scary night 😰",65.8
"Can't go outside, roads blocked due to heavy rain in Puri. Anyone else stuck?",92.8
"Storm surge is breaking the wall, sea water entering colony in Chennai",65.8
"Power cut in whole area due to cyclone, scary night 😰",55.8
"@IndianNavy please rescue us, stuck in Thiruvananthapuram since cyclone hit!",96.1
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",58.9
"Beach closed due to high tide, lifeguards warning tourists ⚠️",66.0
"Heavy rain again, classic Mumbai monsoon 😂",19.5
"Storm surge is breaking the wall, sea water entering colony in Chennai",64.7
"Cyclone holiday declared, no college today yay 😅",9.4
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,35.2
"High waves hitting the shore, fishermen in danger 🚤🌊",51.8
"Can't go outside, roads blocked due to heavy rain in Thiruvananthapuram. Anyone else stuck?",88.8
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",5.2
"Water entered ground floor, electricity gone, please send help urgently!!",98.1
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",54.2
"Beach closed due to high tide, lifeguards warning tourists ⚠️",53.4
"Power cut in whole area due to cyclone, scary night 😰",78.0
"My house is completely flooded, water till knee level 😭 #FloodAlert",21.2
"@IndianNavy please rescue us, stuck in Puri since cyclone hit!",82.1
